,state_id,county_name
348,36,Broward
349,39,Jefferson
350,33,Grant
351,27,Bartow
352,42,Mercer
353,5,Madison
354,26,Midland
355,5,Kootenai
356,13,Berkeley
357,0,Summit
358,31,Will
359,2,Lake
360,23,Apache
361,2,Nobles
362,5,Elmore
363,34,Steuben
364,6,Huron
365,26,Harris
366,36,Brevard
367,15,Danville
368,28,Cass
369,17,Grant
370,36,Jackson
371,0,Gunnison
372,12,Iredell
373,26,Jefferson
374,39,Venango
375,12,Macon
376,15,Louisa
377,36,Okaloosa
378,26,Tom Green
379,26,Taylor
380,13,Colleton
381,12,Cabarrus
382,26,Moore
383,17,Coos
384,25,Floyd
385,25,Muscatine
386,2,Blue Earth
387,3,Vernon
388,5,Canyon
389,26,Guadalupe
390,11,McKinley
391,46,Strafford
392,12,Union
393,25,Buchanan
394,7,Finney
395,46,Merrimack
396,27,Chatham
397,28,Brown
398,23,Pima
399,15,Isle of Wight
400,29,Davidson
401,8,Sublette
402,11,Bernalillo
403,43,Bell
404,1,Canadian
405,25,Wapello
406,17,Lake
407,36,Collier
408,12,Onslow
409,6,Charlevoix
410,2,Swift
411,44,Caledonia
412,39,Erie
413,26,Brooks
414,21,Allen
415,21,Montgomery
416,6,Benzie
417,34,Porter
418,43,Lincoln
419,13,Barnwell
420,1,Kay
421,20,Westchester
422,38,Lee
423,5,Custer
424,4,Jefferson
425,1,Cleveland
426,34,Miami
427,19,Alameda
428,2,Carlton
429,27,Laurens
430,39,Blair
431,10,Johnson
432,2,Chippewa
433,35,Iron
434,1,Carter
435,33,Spokane
436,26,Kerr
437,36,Duval
438,13,Marion
439,1,Rogers
440,20,Orange
441,39,Philadelphia
442,16,Windham
443,17,Harney
444,26,Cherokee
445,10,Taney
446,33,Grays Harbor
447,4,Fond du Lac
448,26,Roberts
449,19,Butte
450,34,Fulton
451,26,Travis
452,25,Dubuque
453,18,Ramsey
454,1,Pittsburg
455,31,Effingham
456,6,Luce
457,22,Brown
458,36,Okeechobee
459,26,Bexar
460,1,Payne
461,3,Plaquemines
462,2,Mille Lacs
463,31,Morgan
464,13,Marlboro
465,10,Livingston
466,39,Cambria
467,36,Indian River
468,4,Rusk
469,44,Lamoille
470,27,Cobb
471,32,Drew
472,25,Boone
473,27,McDuffie
474,27,Hall
475,22,Walworth
476,26,La Salle
477,6,Grand Traverse
478,26,Nolan
479,28,Douglas
480,15,Arlington
481,27,Dougherty
482,0,Douglas
483,11,Taos
484,2,Renville
485,26,Brown
486,13,Kershaw
487,6,Delta
488,36,Marion
489,36,Escambia
490,25,Scott
491,34,Jasper
492,12,Richmond
493,44,Windsor
494,0,Boulder
495,31,Kankakee
496,1,Sequoyah
497,10,Boone
498,28,Custer
499,27,Thomas
500,6,Manistee
501,19,Napa
502,35,Beaver
503,5,Ada
504,3,Rapides
505,13,Chester
506,32,Ouachita
507,25,Buena Vista
508,28,Dawes
509,26,Hunt
510,26,Nacogdoches
511,31,Livingston
512,4,Grant
513,31,Jefferson
514,6,Antrim
515,4,Burnett
516,17,Josephine
517,19,Shasta
518,30,Winston
519,4,Rock
520,19,Marin
521,15,Montgomery
522,12,Columbus
523,25,Appanoose
524,21,Licking
525,26,Hood
526,13,Florence
527,26,Childress
528,17,Curry
529,30,Limestone
530,2,Steele
531,17,Klamath
532,31,Rock Island
533,12,Cumberland
534,41,Talbot
535,26,Coleman
536,29,Bradley
537,46,Grafton
538,34,DeKalb
539,6,Saginaw
540,1,Blaine
541,9,Dukes
542,35,Salt Lake
543,6,Midland
544,4,Oconto
545,2,Murray
546,27,Sumter
547,15,Chesapeake
548,17,Umatilla
549,39,Berks
550,19,El Dorado
551,41,Harford
552,25,Benton
553,34,Daviess
554,7,Cheyenne
555,26,Culberson
556,43,Daviess
557,9,Suffolk
558,32,Marion
559,35,Garfield
560,25,Emmet
561,26,Ellis
562,27,Baldwin
563,19,Sacramento
564,42,Essex
565,38,Pike
566,2,St. Louis
567,38,Carroll
568,9,Nantucket
569,17,Marion
570,31,Williamson
571,12,Beaufort
572,25,Montgomery
573,8,Natrona
574,45,Dawson
575,3,Madison
576,12,Harnett
577,6,Alpena
578,2,Goodhue
579,36,Polk
580,4,Jackson
581,7,Ford
582,26,Upshur
583,9,Norfolk
584,3,Allen
585,19,Del Norte
586,28,Cherry
587,5,Shoshone County
588,4,Washington
589,22,Meade
590,26,Ector
591,23,Graham
